angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
337,0.0,0.8,1.2,1.6,1.9,2.2,2.5,2.7,3.0,3.2,3.3,3.4,3.5,3.6,3.6,3.7,3.7,3.7,3.7,3.7
338,0.0,0.8,1.1,1.5,1.8,2.1,2.4,2.6,2.8,3.1,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5
339,0.0,0.7,1.1,1.4,1.7,2.0,2.3,2.5,2.7,2.9,3.0,3.1,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.3
340,0.0,0.7,1.0,1.4,1.7,1.9,2.1,2.4,2.6,2.8,2.9,3.0,3.0,3.1,3.2,3.2,3.2,3.2,3.2,3.2
341,0.0,0.7,1.0,1.3,1.6,1.8,2.0,2.2,2.4,2.6,2.7,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0
342,0.0,0.6,0.9,1.2,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.8
343,0.0,0.6,0.9,1.1,1.4,1.6,1.8,2.0,2.2,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7
344,0.0,0.5,0.8,1.1,1.3,1.5,1.7,1.9,2.0,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5
345,0.0,0.5,0.8,1.0,1.2,1.4,1.6,1.7,1.9,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4
346,0.0,0.5,0.7,0.9,1.2,1.3,1.5,1.6,1.8,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2
347,0.0,0.4,0.7,0.9,1.1,1.2,1.4,1.5,1.6,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0
348,0.0,0.4,0.6,0.8,1.0,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
349,0.0,0.4,0.6,0.7,0.9,1.0,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7
350,0.0,0.3,0.5,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
351,0.0,0.3,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4
352,0.0,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2
353,0.0,0.2,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
354,0.0,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9
355,0.0,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
356,0.0,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
357,0.0,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
358,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
